iter	MultiClass
120	0.6998098947
121	0.6977779794
122	0.6968609806
123	0.6948933355
124	0.6928993627
125	0.690682098
126	0.6887411226
127	0.6869570993
128	0.6845355076
129	0.6826290151
130	0.6810245253
131	0.6793217308
132	0.6776578824
133	0.6755767656
134	0.6732682792
135	0.6710655608
136	0.6688979142
137	0.6663711419
138	0.6642611048
139	0.6624305843
140	0.6610510849
141	0.658578433
142	0.656829836
143	0.6546336595
144	0.6531357907
145	0.6512274536
146	0.6489126458
147	0.6467986346
148	0.6451997285
149	0.6425512523
150	0.6406518288
151	0.6394556521
152	0.6374815576
153	0.635789665
154	0.6339723101
155	0.6314839206
156	0.6290566596
157	0.6276084186
158	0.6262246929
159	0.624741887
160	0.6234523978
161	0.622188789
162	0.6207713811
163	0.6189181462
164	0.6169325197
165	0.6152974813
166	0.6134332442
167	0.6114276944
168	0.6100852533
169	0.608655927
170	0.6070432002
171	0.605836502
172	0.6045709879
173	0.6027971818
174	0.6016310413
175	0.6001343665
176	0.5987081811
177	0.5972113247
178	0.5960147145
179	0.5940983079
180	0.5923198581
181	0.5909749609
182	0.5897400275
183	0.5883668897
184	0.587033526
185	0.585597671
186	0.5840216662
187	0.5831121782
188	0.5812484883
189	0.5795494069
190	0.5782861774
191	0.5767554688
192	0.5746660195
193	0.5727696808
194	0.5710943464
195	0.5697837491
196	0.567551318
197	0.5658897803
198	0.5647672295
199	0.5634224137
200	0.5621700817
201	0.5612513501
202	0.5591121423
203	0.5574644235
204	0.5562395463
205	0.5541144431
206	0.5528520902
207	0.5518417003
208	0.5502840244
209	0.5491679497
210	0.5484078298
211	0.547010998
212	0.5458286843
213	0.544400409
214	0.5429987991
215	0.5415188779
216	0.5400494738
217	0.5383465343
218	0.5371126915
219	0.535650836
220	0.5349545646
221	0.5336297368
222	0.531969818
223	0.5305967673
224	0.5292658177
225	0.5276742341
226	0.525928953
227	0.524019286
228	0.5226664735
229	0.521119095
230	0.519682867
231	0.5184837647
232	0.5172024256
233	0.5160804759
234	0.5145646873
235	0.5130599758
236	0.5120451437
237	0.511005883
238	0.5098236169
239	0.5086691952
240	0.507060814
241	0.5051184599
242	0.5042268759
243	0.5032244597
244	0.5021728841
245	0.5011725972
246	0.5004353621
247	0.4993270762
248	0.4980911402
249	0.4967646171
250	0.4953139319
251	0.4941801677
252	0.4930280213
253	0.4922292806
254	0.4915639136
255	0.4906803117
256	0.4897859527
257	0.4886923607
258	0.487537361
259	0.4863539031
260	0.485115982
261	0.4841082818
262	0.4829225155
263	0.4810976955
264	0.4801220896
265	0.478860743
266	0.4779104058
267	0.4770313603
268	0.4760443423
269	0.4754374021
270	0.4745211282
271	0.4738012549
272	0.4728202324
273	0.4715954905
274	0.4706182688
275	0.4690951335
276	0.4682085078
277	0.4669114352
278	0.4657084565
279	0.4645520744
280	0.4639683776
281	0.4627855234
282	0.4612268784
283	0.4603336957
284	0.4589474736
285	0.458050638
286	0.4567975021
287	0.4556497723
288	0.4542616063
289	0.4532070645
290	0.4520469403
291	0.4510262683
292	0.4500657039
293	0.448834656
294	0.4473592746
295	0.4464321423
296	0.4457899293
297	0.4443892831
298	0.4435226786
299	0.4424780765
300	0.4413978428
301	0.4405982035
302	0.4395587753
303	0.4387376524
304	0.4377762316
305	0.436858233
306	0.4360313343
307	0.4348642358
308	0.4333158419
309	0.4326627115
310	0.4314923335
311	0.4303647786
312	0.4293273871
313	0.428499247
314	0.4274923085
315	0.4264537647
316	0.4255876614
317	0.4247055855
318	0.4237323738
319	0.4229424547
320	0.421930349
321	0.4212121661
322	0.4201669154
323	0.4195436312
324	0.4183583627
325	0.4176882188
326	0.4170236763
327	0.4164080305
328	0.4155925674
329	0.4145738386
330	0.4132485698
331	0.4123012832
332	0.4113567325
333	0.4103243329
334	0.4093831621
335	0.4087262513
336	0.4076208367
337	0.4067418381
338	0.4055702932
339	0.4048895488
340	0.4038771402
341	0.4025074641
342	0.4012120109
343	0.400191301
344	0.3995488767
345	0.3987382528
346	0.3979309548
347	0.3976056428
348	0.3970734246
349	0.3959525281
350	0.3949947821
351	0.3942530083
352	0.3935957765
353	0.3924096987
354	0.391472731
355	0.3906920256
356	0.3900794737
357	0.3891652811
358	0.3887042095
359	0.3881112691
360	0.3873552582
361	0.3866678767
362	0.3857659282
363	0.385279584
364	0.3845056952
365	0.3836653529
366	0.3827824321
367	0.3819740218
368	0.3812155786
369	0.3806004129
370	0.3799189923
371	0.3793630229
372	0.3787291258
373	0.3780735227
374	0.377437475
375	0.3768093605
376	0.3759073218
377	0.3753705332
378	0.3746625437
379	0.3739226429
380	0.3733913656
381	0.3729738766
382	0.3723124619
383	0.3717511734
384	0.3713019648
385	0.3702232503
386	0.3694482755
387	0.368903266
388	0.3682622199
389	0.3678302144
390	0.3671066261
391	0.3662107828
392	0.365425826
393	0.3649849292
394	0.3642735263
395	0.3633091005
396	0.3624705396
397	0.36190243
398	0.3612400829
399	0.3606433412
400	0.3599274542
401	0.3592363608
402	0.3586547551
403	0.3579772296
404	0.3573681482
405	0.3564578572
406	0.3558040496
407	0.3553080834
408	0.3543686259
409	0.3539178308
410	0.3530523324
411	0.3527485087
412	0.352080274
413	0.3513335179
414	0.3508816202
415	0.3500802191
416	0.3496710299
417	0.3489246093
418	0.3485052828
419	0.3476959649
420	0.3470096156
421	0.3464262104
422	0.3459615238
423	0.345421386
424	0.3445744909
425	0.3436740303
426	0.3430303368
427	0.342517808
428	0.3418991089
429	0.3416737636
430	0.3412275023
431	0.3406822235
432	0.3400573438
433	0.3391507286
434	0.3383091582
435	0.33753058
436	0.336935272
437	0.3362544028
438	0.3357917398
439	0.3349027925
440	0.3343070397
441	0.3336459826
442	0.3328953866
443	0.3322662693
444	0.3314462174
445	0.3307984394
446	0.3299663675
447	0.3295515923
448	0.3287600331
449	0.3279889508
450	0.3272104152
451	0.326356292
452	0.3258777126
453	0.3251527097
454	0.3248549601
455	0.3242107354
456	0.3234424473
457	0.323101
458	0.3227120359
459	0.3223574012
460	0.3217406516
461	0.3213292359
462	0.3208850284
463	0.320378899
464	0.3199037993
465	0.3194610626
466	0.31869009
467	0.3180315884
468	0.3175616488
469	0.3169819007
470	0.3164696546
471	0.3159890679
472	0.3154834215
473	0.3152127478
474	0.3144569513
475	0.3139923977
476	0.3131980684
477	0.3127058202
478	0.3121255091
479	0.3117979398
480	0.3111884275
481	0.3105911084
482	0.3098859495
483	0.3095292089
484	0.3091500215
485	0.3086087451
486	0.3080231981
487	0.3073550307
488	0.3067211787
489	0.3064630232
490	0.3059959945
491	0.3055406987
492	0.3049207298
493	0.3042664957
494	0.3038787057
495	0.3034851977
496	0.3031254874
497	0.3026422565
498	0.3019218357
499	0.3015969106
500	0.3012210066
501	0.3010377456
502	0.300447295
503	0.2998364631
504	0.2994723004
505	0.2989365652
506	0.2986311234
507	0.2980936551
508	0.2974712601
509	0.2969821734
510	0.2963537929
511	0.2958056912
512	0.2955353654
513	0.295216002
514	0.294355429
515	0.2937839563
516	0.2934789301
517	0.2931174464
518	0.2928459487
519	0.2923071823
520	0.2917537506
521	0.2911637077
522	0.2908597101
523	0.2904717167
524	0.2903184195
525	0.2900354691
526	0.2895772645
527	0.2890803534
528	0.2887988398
529	0.2884330745
530	0.2880631328
531	0.287802552
532	0.2873231188
533	0.2867671889
534	0.2862833254
535	0.2856244439
536	0.2850914558
537	0.2845508805
538	0.284078313
539	0.2836441421
540	0.2830731855
541	0.2824907125
542	0.2819110282
543	0.281435469
544	0.2808942026
545	0.280429568
546	0.2799683387
547	0.2793975141
548	0.2786152488
549	0.278031197
550	0.2773947866
551	0.2768906555
552	0.2763043233
553	0.2755720306
554	0.2750395955
555	0.2744365287
556	0.2738580707
557	0.2735148926
558	0.2729909503
559	0.2727111566
560	0.2723289219
561	0.2717494796
562	0.2714980337
563	0.2710239222
564	0.2705284957
565	0.2697928827
566	0.2695601687
567	0.269322769
568	0.2687966948
569	0.2684265418
570	0.2680763747
571	0.2677623701
572	0.2673953101
573	0.2671551099
574	0.2667084188
575	0.2664201673
576	0.2661340177
577	0.2658271297
578	0.2653344605
579	0.2647851583
580	0.2645884289
581	0.2643415821
582	0.2639086974
583	0.2633776844
584	0.2631708479
585	0.2627938968
586	0.262337754
587	0.2621733263
588	0.26183441
589	0.2613800415
590	0.2612343162
591	0.2606656811
592	0.2602642195
593	0.2599579567
594	0.2596934664
595	0.259182714
596	0.2584665812
597	0.2579423404
598	0.2574807988
599	0.2572359937
600	0.2567320142
601	0.2563975413
602	0.2560843079
603	0.2557153368
604	0.2554878532
605	0.2552892975
606	0.2546382186
607	0.2542559371
608	0.2539248607
609	0.2536891458
610	0.2535318227
611	0.2529772873
612	0.2527930145
613	0.2521853141
614	0.2519321458
615	0.2513602386
616	0.2511707543
617	0.2508224421
618	0.2504509333
619	0.2501520682
620	0.2498377784
621	0.249475589
622	0.2491665428
623	0.2489834544
624	0.2487239025
625	0.2483866474
626	0.2478890648
627	0.2475284171
628	0.2469914602
629	0.2467256312
630	0.2463075865
631	0.2458063717
632	0.2455392715
633	0.2452391931
634	0.2448033273
635	0.2445948936
636	0.2443205281
637	0.2439352538
638	0.2435331681
639	0.2432007297
640	0.2427848018
641	0.2424897377
642	0.2422155022
643	0.2417197599
644	0.2415003904
645	0.2410655766
646	0.2407515009
647	0.2404642081
648	0.2402449743
649	0.2399254939
650	0.2397054771
651	0.2394102223
652	0.2389742166
653	0.2388012028
654	0.2385479351
655	0.2382961132
656	0.2379612664
657	0.237532168
658	0.2371540044
659	0.2367538759
660	0.2364620926
661	0.2357530993
662	0.2355265251
663	0.2351887412
664	0.2346407542
665	0.2343699493
666	0.234116969
667	0.2338942794
668	0.2335406419
669	0.2334059878
670	0.2331849709
671	0.2329925602
672	0.232626713
673	0.2323695976
674	0.2320516178
675	0.2316980942
676	0.2314340993
677	0.2311510895
678	0.2309718939
679	0.230722019
680	0.2305539656
681	0.230199331
682	0.2298478509
683	0.2295571499
684	0.2292342761
685	0.2289572595
686	0.2284659282
687	0.228306086
688	0.2278948436
689	0.2275364019
690	0.2271181817
691	0.2269432283
692	0.2268007642
693	0.2264104038
694	0.226117687
695	0.2258478996
696	0.2256558684
697	0.2253587903
698	0.2250209095
699	0.2246902868
700	0.2245077182
701	0.2242959299
702	0.2238891555
703	0.2237865043
704	0.2235480951
705	0.2232988343
706	0.2229405967
707	0.2227809264
708	0.222574385
709	0.2222252266
710	0.2220518593
711	0.221610024
712	0.2213278519
713	0.2210613708
714	0.2207600755
715	0.2204347766
716	0.2202064753
717	0.2198390578
718	0.2196094271
719	0.2192724513
720	0.2189560268
721	0.2186579204
722	0.2183673525
723	0.2180405917
724	0.2178547436
725	0.217605751
726	0.2173479267
727	0.2170198773
728	0.2167487535
729	0.2162143626
730	0.2159121223
731	0.2156334746
732	0.2154427417
733	0.2151867005
734	0.2150004908
735	0.2147354596
736	0.2143523314
737	0.2140360994
738	0.2137335564
739	0.2135558061
740	0.2131703816
741	0.2130405502
742	0.2126971491
743	0.2125420538
744	0.2122807373
745	0.2120575861
746	0.2115713644
747	0.2111966342
748	0.2110046588
749	0.2106584333
750	0.2103257792
751	0.2101319354
752	0.2100247402
753	0.2096408756
754	0.2093867765
755	0.2092106584
756	0.2090302808
757	0.2086664688
758	0.2084311163
759	0.2081593172
760	0.208043316
761	0.2078068481
762	0.2073719756
763	0.2071296339
764	0.2070127404
765	0.2068235017
766	0.2066242524
767	0.2062488815
768	0.2060742919
769	0.2059288433
770	0.2056016046
771	0.2053867521
772	0.2051686723
773	0.204850669
774	0.2047108167
775	0.2043665143
776	0.2042134192
777	0.2039009141
778	0.203565527
779	0.203428711
780	0.2030037361
781	0.2026623188
782	0.2023846332
783	0.2022516295
784	0.2020734926
785	0.2016984479
786	0.2014337597
787	0.2012366512
788	0.2009092567
789	0.2005906948
790	0.200280407
791	0.2000332782
792	0.1997352004
793	0.1995272291
794	0.1993109773
795	0.1992103144
796	0.1989675935
797	0.1985039893
798	0.1982397471
799	0.1980407044
800	0.1978611539
801	0.1976013026
802	0.1974172738
803	0.1972829944
804	0.1970679216
805	0.196929313
806	0.1967322061
807	0.1965977774
808	0.1962993521
809	0.1960649187
810	0.1957310363
811	0.1956015106
812	0.195270538
813	0.1949884224
814	0.1946205441
815	0.1942705548
816	0.1939840697
817	0.193806541
818	0.1935254742
819	0.1931327827
820	0.1929925369
821	0.1927445301
822	0.1925764926
823	0.1923349236
824	0.1922263262
825	0.191870764
826	0.1917247484
827	0.19131437
828	0.1911231224
829	0.1910047531
830	0.1907519503
831	0.1904909149
832	0.1903078603
833	0.1900545723
834	0.1897813741
835	0.1895873246
836	0.1893731791
837	0.1892213827
838	0.1889191368
839	0.1888364336
840	0.188627364
841	0.1882515926
842	0.1880802955
843	0.1879343345
844	0.1877794748
845	0.1876169607
846	0.1874747339
847	0.1873654168
848	0.1871648411
849	0.1869417508
850	0.1867872603
851	0.1866584007
852	0.186422325
853	0.1862558764
854	0.1860156874
855	0.1856696885
856	0.1853396725
857	0.1850098513
858	0.1848048619
859	0.1846062746
860	0.1844847579
861	0.1842539319
862	0.1839316155
863	0.1836320667
864	0.1835129594
865	0.183347157
866	0.1832040098
867	0.1828978244
868	0.1825892611
869	0.1823941253
870	0.1821407821
871	0.1818562074
872	0.1815595095
873	0.1813210314
874	0.1810916214
875	0.1807912319
876	0.1804802987
877	0.1802649766
878	0.1800432554
879	0.1798139489
880	0.1796739389
881	0.1794960458
882	0.1793078322
883	0.179128013
884	0.1790153464
885	0.1788138503
886	0.1787237935
887	0.1785528026
888	0.178407006
889	0.1781269267
890	0.1779626724
891	0.1776613739
892	0.1774704322
893	0.1772279443
894	0.1770281741
895	0.1768496886
896	0.1767447228
897	0.1765507684
898	0.176497417
899	0.176312287
900	0.1759378608
901	0.1757014766
902	0.1754848291
903	0.1751487358
904	0.1749503998
905	0.1748213001
906	0.1745337073
907	0.1743294569
908	0.1740402389
909	0.1737827418
910	0.1736422621
911	0.1734219226
912	0.1731619797
913	0.1728776142
914	0.1727288113
915	0.1724417419
916	0.1722169467
917	0.1719385623
918	0.1717133143
919	0.1714665261
920	0.1713256706
921	0.1710053485
922	0.1708396637
923	0.1706557538
924	0.1704886733
925	0.1703218343
926	0.1701231847
927	0.1699477814
928	0.1697091157
929	0.1695445886
930	0.1693264396
931	0.1692287802
932	0.1691777653
933	0.1690843577
934	0.1688360014
935	0.1686537026
936	0.1685136595
937	0.1681826525
938	0.1679262992
939	0.1677225177
940	0.1675421731
941	0.1672523884
942	0.1670685829
943	0.166897437
944	0.1666183953
945	0.1665538189
946	0.1664881728
947	0.1663498113
948	0.1661277027
949	0.1659269172
950	0.1658069554
951	0.1655964189
952	0.1653493431
953	0.1650984674
954	0.1649182319
955	0.1647403784
956	0.1646314471
957	0.1645298465
958	0.1643456006
959	0.1642249997
960	0.1641814422
961	0.1639145926
962	0.1637941031
963	0.1636812417
964	0.1635152992
965	0.163379673
966	0.1632763217
967	0.163157287
968	0.1630026685
969	0.162853561
970	0.1626502287
971	0.1624176065
972	0.1622729883
973	0.1622140243
974	0.1620101681
975	0.1618364461
976	0.161710628
977	0.1614576237
978	0.161419598
979	0.1612075407
980	0.1609513885
981	0.1607075165
982	0.1604980181
983	0.1603970138
984	0.1602287301
985	0.1599778725
986	0.1597216576
987	0.159537208
988	0.1593347522
989	0.1590208289
990	0.1589306754
991	0.1587936007
992	0.1585536966
993	0.1582391835
994	0.1580030471
995	0.1578261134
996	0.1576001552
997	0.1573639428
998	0.1571957816
999	0.1569950762
