,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed,AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV,class,feature_removed
9,0.8535178213465018,0.43579646367776226,0.7358358182774952,0.303422756706753,0.7256637168141593,0.7367117546199276,0.19181286549707602,0.9689300927085943,Class 1,BA,0.8651379022232869,0.4117600608003577,0.7371685336371115,0.26845164699665314,0.7642928786359077,0.735341799513645,0.16282051282051282,0.9788688067619818,Class 1,BA,0.8519300340614988,0.3901347472747431,0.7606382978723404,0.2691415313225058,0.6705202312138728,0.7669784465229769,0.1683599419448476,0.970663921770458,Class 1,BA,0.8528942621606714,0.29497735095648003,0.6803988454473892,0.19444444444444445,0.7945945945945946,0.6745725317153889,0.11077618688771665,0.9847020933977456,Class 1,BA
9,0.7668779206687791,0.10764983073745613,0.844588668654622,0.07322175732217573,0.23972602739726026,0.8604860486048604,0.043209876543209874,0.9773052545491719,Class 2,BA,0.7389634314389362,0.07381220171714586,0.8353268780456933,0.08315715292459479,0.2829736211031175,0.8502990119604784,0.048740190004130525,0.9776532137518684,Class 2,BA,0.817180694112688,0.08986882763396817,0.8111702127659575,0.07102803738317758,0.4318181818181818,0.8176197836166924,0.038696537678207736,0.9883232134516581,Class 2,BA,0.7692710123343645,0.07664458818214233,0.8937286801364471,0.060324825986078884,0.18571428571428572,0.9069767441860465,0.036011080332409975,0.9834782608695652,Class 2,BA
10,0.8476019418048404,0.9752180422218135,0.6309419400105245,0.744784085395439,0.6016068979031942,0.8812709030100334,0.9773957338427253,0.205859375,Class 0,MN_MALS_MO,0.8339864420663438,0.9776499128149561,0.6135054743370673,0.7351116894382997,0.5890039619100577,0.8628005657708628,0.977618827872635,0.171036029721015,Class 0,MN_MALS_MO,0.8561868506168245,0.9824817078498207,0.6109422492401215,0.7341640706126688,0.5855072463768116,0.8940092165898618,0.9839944328462074,0.16234309623430962,Class 0,MN_MALS_MO,0.8417774984009352,0.9845918041508426,0.6268695880346365,0.7530392497394929,0.609673790776153,0.8666666666666667,0.9845594913714805,0.13735239279055314,Class 0,MN_MALS_MO
10,0.8549976649576743,0.4326793678555337,0.7356604104543063,0.3128134974920201,0.7588495575221239,0.7336635549628501,0.19701321079839174,0.9724747474747475,Class 1,MN_MALS_MO,0.861059671855339,0.4138409654258257,0.7312828302006202,0.26386962552011095,0.7632898696088265,0.7291272629019184,0.15950534479144834,0.9786038077969175,Class 1,MN_MALS_MO,0.8623906047620278,0.41680671142342784,0.800531914893617,0.3155149934810952,0.6994219653179191,0.807645384302562,0.2037037037037037,0.9744847890088322,Class 1,MN_MALS_MO,0.8571786347848125,0.2992568442459554,0.7087378640776699,0.2025862068965517,0.7621621621621621,0.7060121345835632,0.11681855840927921,0.9831029185867896,Class 1,MN_MALS_MO
10,0.7579152435791524,0.09990463063086875,0.8444132608314331,0.08082901554404145,0.2671232876712329,0.8595859585958596,0.047619047619047616,0.9780827529700942,Class 2,MN_MALS_MO,0.7349867375990002,0.07411365626047013,0.8385545218657047,0.08204390068369917,0.2733812949640288,0.8538741549661987,0.04826418289585097,0.9774536795892551,Class 2,MN_MALS_MO,0.7718051847688633,0.11192135041177369,0.7701367781155015,0.06201550387596899,0.45454545454545453,0.7755023183925811,0.033277870216306155,0.9881831610044313,Class 2,MN_MALS_MO,0.7629701760415474,0.06464309495148086,0.881395959065862,0.0423728813559322,0.14285714285714285,0.8952151831061214,0.024875621890547265,0.9823995306541508,Class 2,MN_MALS_MO
11,0.8472899736989914,0.9746178841446689,0.6384844764076478,0.7512972125015084,0.6100333137370174,0.8812709030100334,0.9777010050251256,0.2093762415574096,Class 0,MN_LALS_LY,0.8360672338073554,0.9778337486713178,0.6217960888551357,0.7420580110497238,0.5974838395773963,0.8691654879773691,0.978931784534791,0.17507122507122508,Class 0,MN_LALS_LY,0.8597952504985165,0.9831908049418756,0.621580547112462,0.7430340557275542,0.5962732919254659,0.9032258064516129,0.9856262833675564,0.16737830913748933,Class 0,MN_LALS_LY,0.8386212752817663,0.9840070999822492,0.6334295460509053,0.7584298806847657,0.6167041619797525,0.8666666666666667,0.9847328244274809,0.13952020202020202,Class 0,MN_LALS_LY
11,0.8518853991573616,0.43540411223814524,0.7370636730398176,0.30633965756594167,0.7323008849557522,0.737473804534197,0.19368051492100644,0.969689378757515,Class 1,MN_LALS_LY,0.8615198473019707,0.406196563498164,0.7342573254857288,0.26782911944202265,0.7703109327983951,0.7318292353417996,0.16209371042634022,0.9793003706047184,Class 1,MN_LALS_LY,0.8651409121147513,0.41394388170071633,0.7743161094224924,0.2978723404255319,0.7283236994219653,0.777551850345669,0.18722139673105498,0.9760081674323634,Class 1,MN_LALS_LY,0.8529255675973823,0.29911789038733305,0.7076882707950669,0.1927536231884058,0.7189189189189189,0.7071152785438499,0.11129707112970712,0.9801223241590215,Class 1,MN_LALS_LY
11,0.7622356756223567,0.1055654881357849,0.8452902999473777,0.07547169811320754,0.2465753424657534,0.861026102610261,0.04455445544554455,0.9775189045575312,Class 2,MN_LALS_LY,0.7358472036723197,0.07737469144152943,0.8419720270868932,0.07484253427195257,0.2422062350119904,0.858229329173167,0.04425942156003506,0.9766254900510393,Class 2,MN_LALS_LY,0.8136943234508922,0.07307846328638674,0.8062310030395137,0.05904059040590406,0.36363636363636365,0.8137557959814529,0.0321285140562249,0.9868791002811621,Class 2,MN_LALS_LY,0.7845190361629817,0.08547435366562256,0.8879559170821306,0.06971677559912855,0.22857142857142856,0.9002940390269981,0.04113110539845758,0.9842197545295149,Class 2,MN_LALS_LY
12,0.8449626654135511,0.9733124868989153,0.6344500964743027,0.7480048367593712,0.606114050558495,0.8762541806020067,0.9766340385222608,0.2067876874506709,Class 0,MN_LMALS_MO,0.8354573008065882,0.9775370181022501,0.6156572368837415,0.7369287416071042,0.5912281921178842,0.8642149929278642,0.9779259599908025,0.17203998310572996,Class 0,MN_LMALS_MO,0.8619801356727824,0.9839285964014893,0.6212006079027356,0.742576813839401,0.5954451345755694,0.9078341013824884,0.9862825788751715,0.16780238500851788,Class 0,MN_LMALS_MO,0.8427788438209929,0.9843535563485872,0.6415638939910785,0.7648071625344353,0.624578177727784,0.8784313725490196,0.9862344582593251,0.1436818473380372,Class 0,MN_LMALS_MO
12,0.8510483244174619,0.4311857851640057,0.7353095948079285,0.3081155433287483,0.7433628318584071,0.7346161173556868,0.19433198380566802,0.9707955689828801,Class 1,MN_LMALS_MO,0.8609577042394407,0.4063905028172234,0.7336877412821974,0.26407834907310246,0.757271815446339,0.7320994325857876,0.15992374496928616,0.978158844765343,Class 1,MN_LMALS_MO,0.8624775802936953,0.42127274173205886,0.7796352583586627,0.30120481927710846,0.7225433526011561,0.7836518910126068,0.1902587519025875,0.9756962025316456,Class 1,MN_LMALS_MO,0.8605029740164876,0.3039537017032556,0.7229073733928103,0.20958083832335328,0.7567567567567568,0.7211803640375068,0.12163336229365769,0.9830827067669173,Class 1,MN_LMALS_MO
12,0.7594910175949102,0.09837264752494021,0.8447640764778109,0.0694006309148265,0.22602739726027396,0.861026102610261,0.040993788819875775,0.9769199346405228,Class 2,MN_LMALS_MO,0.7447700186184905,0.07774190351747143,0.8367824821213847,0.07859949982136477,0.2637889688249401,0.8523140925637025,0.04617968094038623,0.9771219912064982,Class 2,MN_LMALS_MO,0.8229327666151469,0.13701904288768035,0.8020516717325228,0.07130124777183601,0.45454545454545453,0.8079598145285936,0.03868471953578337,0.9886524822695035,Class 2,MN_LMALS_MO,0.7681597739336312,0.06452172433265406,0.881395959065862,0.05439330543933055,0.18571428571428572,0.8944132584870356,0.031862745098039214,0.98325007346459,Class 2,MN_LMALS_MO
