AUROC,AUPRC,Accuracy,F1 Score,Sensitivity,Specificity,PPV,NPV
0.857772820269786,0.9768687001029998,0.7879319417646027,0.8697057872615583,0.7928866181961093,0.7467320261437909,0.9630071599045346,0.30244870946393115
0.8626081417460565,0.42654048362098035,0.834415014909665,0.38939197930142305,0.6733780760626398,0.848115721355158,0.27388535031847133,0.9682746631899174
0.7908773427920827,0.12768654208514132,0.9114190492895983,0.12478336221837089,0.21818181818181817,0.9320809248554913,0.08737864077669903,0.975609756097561
0.8568985136466324,0.9773562409595337,0.7840729696544466,0.8671343766864544,0.7893495775201415,0.7401960784313726,0.9619252873563219,0.29704918032786887
0.8621440232178487,0.4173222862864285,0.832310121031398,0.3767926988265971,0.6465324384787472,0.848115721355158,0.265869365225391,0.9657563935847421
0.7983206340865301,0.10155735853891162,0.9047535520084196,0.09950248756218906,0.18181818181818182,0.9263005780346821,0.0684931506849315,0.9743492304769144
0.8586846935014262,0.9768061694005115,0.7907384669356253,0.8714855111494129,0.7948516407938692,0.7565359477124183,0.9644730567477349,0.30723291307232914
0.8637399096799795,0.43600626525597885,0.8368707244343098,0.3913612565445026,0.668903803131991,0.8511610201751046,0.2765957446808511,0.9679653679653679
0.8048125766333859,0.12466269468820274,0.9096649710577092,0.12859560067681894,0.23030303030303031,0.9299132947976878,0.0892018779342723,0.9759241706161137
0.8548657427207472,0.975834953663421,0.7875811261182248,0.8694339622641509,0.7922971114167813,0.7483660130718954,0.9632107023411371,0.3023102310231023
0.8603373673323575,0.4322900549130374,0.8368707244343098,0.3913612565445026,0.668903803131991,0.8511610201751046,0.2765957446808511,0.9679653679653679
0.8042411105272377,0.10892387654068997,0.9089633397649535,0.1335559265442404,0.24242424242424243,0.9288294797687862,0.09216589861751152,0.9762673248528574
0.8563860665770207,0.9769467875320854,0.7902122434660586,0.8711484593837535,0.7944586362743171,0.7549019607843137,0.9642260911042213,0.3063660477453581
0.8601389460166282,0.42215226775401343,0.8354674618487985,0.380449141347424,0.6442953020134228,0.8517320137038447,0.26991565135895035,0.9656883901596892
0.8020384480644597,0.10588214591988286,0.9070338537098754,0.1254125412541254,0.23030303030303031,0.9272037572254336,0.08616780045351474,0.9758555133079848
0.8551858615981927,0.9764717968411474,0.7840729696544466,0.8670482773517658,0.7887600707408136,0.7450980392156863,0.962589928057554,0.29784454604833444
0.8620524769026517,0.4291893231772924,0.8319593053850202,0.38033635187580855,0.6577181208053692,0.8467834031214313,0.267515923566879,0.9667535853976532
0.7915517165878437,0.10160438245495707,0.9075600771794422,0.11725293132328309,0.21212121212121213,0.9282875722543352,0.08101851851851852,0.975327386600873
0.8549794057925784,0.9761307873133185,0.7884581652341695,0.8700990952175787,0.7936726272352133,0.7450980392156863,0.9628128724672229,0.30278884462151395
0.8608845162394648,0.442000376575767,0.8333625679705314,0.38311688311688313,0.6599552572706935,0.848115721355158,0.2698993595608417,0.9670138888888888
0.8004816955684007,0.11153371135458633,0.911945272759165,0.1314878892733564,0.23030303030303031,0.9322615606936416,0.09200968523002422,0.975983358547655
0.855915039101381,0.9766062596392654,0.7840729696544466,0.8671056893015222,0.7891530752603655,0.7418300653594772,0.9621466219453761,0.29731499672560574
0.8601419265943324,0.4234564269081391,0.832310121031398,0.3776041666666667,0.6487695749440716,0.8479253901789113,0.2662993572084481,0.9659583694709454
0.7922622175512348,0.11074747843240329,0.9082617084721979,0.13266998341625208,0.24242424242424243,0.928106936416185,0.091324200913242,0.9762492874786244
0.8561051197186808,0.9767153034041981,0.7861778635327136,0.8685714285714285,0.7915111023776773,0.7418300653594772,0.9622551361681796,0.2996699669966997
0.8604229524921461,0.42621395471990464,0.8354674618487985,0.37715803452855245,0.6353467561521253,0.8524933384088313,0.26817752596789424,0.9648858250753986
0.7948578998073219,0.11176646904349402,0.9047535520084196,0.12560386473429952,0.23636363636363636,0.9246748554913294,0.08552631578947369,0.9759771210676835
0.8603848233470371,0.9776918829989394,0.7903876512892475,0.8712700635570397,0.7946551385340932,0.7549019607843137,0.9642346208869814,0.30656934306569344
0.8633899046981569,0.42977706055831216,0.8335379757937204,0.38256343526350034,0.6577181208053692,0.8484963837076513,0.26972477064220185,0.966818477553676
0.8023187073042564,0.11189220291574384,0.9094895632345202,0.1134020618556701,0.2,0.930635838150289,0.07913669064748201,0.9750189250567751
0.8563125387706664,0.9770654749637215,0.7886335730573584,0.8702207862143242,0.7938691294949892,0.7450980392156863,0.9628217349857007,0.3029900332225914
0.8632587592791771,0.42542647289022273,0.8370461322574987,0.38517538054268696,0.6510067114093959,0.8528740007613247,0.27349624060150374,0.9663575587664438
0.7903266771763882,0.11219332149752559,0.9063322224171197,0.1188118811881188,0.21818181818181817,0.926842485549133,0.08163265306122448,0.9754752851711027
0.8579340034959422,0.9777386487633998,0.7868794948254693,0.8690309367252345,0.7921006091570053,0.7434640522875817,0.9625119388729704,0.3007270323859881
0.864593632293793,0.42951742900873097,0.8317838975618312,0.37928802588996763,0.6554809843400448,0.8467834031214313,0.2668488160291439,0.9665435585487725
0.7916447714135574,0.11139664561000033,0.9094895632345202,0.1103448275862069,0.19393939393939394,0.9308164739884393,0.07710843373493977,0.9748391978811957
0.8531148818995733,0.9760032851553379,0.7884581652341695,0.8698748381527838,0.7921006091570053,0.7581699346405228,0.9645848289064369,0.30486202365308807
0.860714623310332,0.4223218945681065,0.8351166462024207,0.38722294654498046,0.6644295302013423,0.8496383707651314,0.2732290708371665,0.9674902470741222
0.7914882203538272,0.1043699588032959,0.9070338537098754,0.11666666666666667,0.21212121212121213,0.9277456647398844,0.08045977011494253,0.9753133308013673
0.8538963957889437,0.9766077940296616,0.7898614278196807,0.8709885849666165,0.7946551385340932,0.75,0.9635453895639743,0.30518617021276595
