iteration,n_features,removed,class_0_AUROC,class_1_AUROC,class_2_AUROC,macro_AUROC,micro_AUROC,timestamp
0,86,HCT,0.8470710289329432,0.8579812689931139,0.7735276240095519,0.8261933073118696,0.9714555804707153,2025-07-03T23:02:57.832184
1,85,MN_AL2_NE,0.8493684442360796,0.8606293659495827,0.7720297405839575,0.8273425169232066,0.971760514357939,2025-07-03T23:29:34.416110
2,84,SD_LALS_EO,0.8475018546758439,0.8600047702637544,0.7725279496363833,0.8266781915253271,0.9716242536266412,2025-07-04T00:02:30.410924
3,83,SD_LMALS_NE,0.8477967996537938,0.8615851346226772,0.7637555627917074,0.8243791656893927,0.9715177425428773,2025-07-04T00:28:42.812443
4,82,MN_V_EO,0.8494602120512715,0.8621972898724555,0.7699381309019864,0.8271985442752378,0.9717629628886002,2025-07-04T00:52:54.228772
5,81,SD_C_LY,0.8481252318344805,0.862372742918818,0.7587072614783459,0.8230684120772148,0.9714342476473294,2025-07-04T01:16:20.841887
6,80,SD_LMALS_MO,0.8483358148209207,0.8610682130557656,0.7718007163790297,0.8270682480852387,0.9716597726245457,2025-07-04T01:41:54.681715
7,79,SD_V_EO,0.8461762122367391,0.8580426132122579,0.7730750027135569,0.8257646093875181,0.9714541266556351,2025-07-04T02:05:24.389322
8,78,MN_AL2_EO,0.8474007490829658,0.8597649701343738,0.7750439596222728,0.8274032262798708,0.971673974102381,2025-07-04T02:28:24.379234
9,77,MN_C_EO,0.8521340363928616,0.8628613517692016,0.773319222837295,0.8294382036664527,0.9720903926512738,2025-07-04T02:50:53.674024
10,76,MO,0.8496118704405886,0.8648505345955656,0.7668891783349615,0.8271171944570385,0.9718630312760616,2025-07-04T03:13:02.077158
11,75,MN_LALS_NE,0.8493079096772864,0.861927461104333,0.7718463041354607,0.8276938916390267,0.9717859943801325,2025-07-04T03:34:51.508281
12,74,BA_count,0.8481400434818448,0.8604123017895351,0.7737968088570498,0.8274497180428099,0.9716466117722415,2025-07-04T03:56:06.339114
13,73,SD_C_MO,0.8483638281539794,0.8628128769666613,0.7704830131336156,0.827219906084752,0.9717879685079779,2025-07-04T04:17:01.330918
14,72,MN_AL2_LY,0.8488703220953715,0.8626490063952422,0.7658460870509063,0.8257884718471734,0.9716151481532447,2025-07-04T04:37:08.096312
15,71,EO_count,0.8487119018670404,0.8614761735621002,0.7681819168566156,0.8261233307619187,0.9716133270585654,2025-07-04T04:56:51.731503
16,70,Band,0.8492132439310884,0.8626747452284493,0.7640193205253447,0.8253024365616275,0.9716686638515094,2025-07-04T05:16:04.423765
17,69,SD_V_MO,0.8514111636030168,0.8636249371543488,0.7681384999457288,0.8277248669010314,0.9719829021552457,2025-07-04T05:34:43.571905
18,68,MN_V_LY,0.850324117483411,0.8624551071850811,0.7661825681102788,0.8263205975929236,0.9717702472673174,2025-07-04T05:53:03.888286
19,67,SD_C_EO,0.8512604711907019,0.8650118312836643,0.7688852708129816,0.8283858577624493,0.972017426437569,2025-07-04T06:11:39.652244
20,66,HGB,0.8492158198697606,0.8628686444386103,0.7577206121784434,0.8232683588289381,0.9714871206062955,2025-07-04T06:29:05.247696
21,65,NE_count,0.8495767732761819,0.8612432371215748,0.7680104200586126,0.8262768101521232,0.9716774326519398,2025-07-04T06:45:20.728180
22,64,NRBC,0.850126092197997,0.8610317497087222,0.7701042005861283,0.8270873474976158,0.9716508660942655,2025-07-04T07:02:47.924724
23,63,Metamyelocyte,0.8493748840827597,0.8587778858808772,0.7675274069249973,0.8252267256295447,0.9714646553374785,2025-07-04T07:19:07.272111
24,62,BA,0.8469216244899641,0.8586380382204514,0.7712764571800717,0.8256120399634957,0.9715178802727271,2025-07-04T07:34:45.441768
25,61,SD_LMALS_LY,0.8496096164942504,0.8605967634275202,0.7656007815043959,0.8252690538087221,0.9715821388992678,2025-07-04T07:50:10.571414
26,60,SD_LALS_NE,0.8498514327370893,0.8614298436623271,0.7711809399761207,0.8274874054585123,0.9717402986766671,2025-07-04T08:04:50.268645
27,59,MN_C_MO,0.8483928074640399,0.8609807010228613,0.7617746662324976,0.8237160582397997,0.9713973666542445,2025-07-04T08:19:23.690542
28,58,EO,0.849535236265095,0.8601836551545448,0.769584283078259,0.8264343914992995,0.971602507613706,2025-07-04T09:16:58.679742
29,57,PDW,0.8459144324691918,0.8569714487702845,0.7637479648323022,0.8222112820239262,0.9710848117153378,2025-07-04T09:30:29.043678
30,56,MN_MALS_EO,0.8472249412685983,0.857279456807664,0.7720156300879194,0.8255066760547272,0.9713179883508706,2025-07-04T09:43:43.261335
31,55,MCH,0.847158932840127,0.8574107248570209,0.7650852056876153,0.823218287794921,0.9711292678501557,2025-07-04T09:56:26.957928
32,54,ANC,0.8486735847792936,0.8584484288158251,0.7678356669922934,0.8249858935291373,0.9714308656143534,2025-07-04T10:09:26.488958
33,53,SD_LALS_LY,0.8469264543749743,0.8580404683094907,0.764647780310431,0.8232049009982987,0.971206427172618,2025-07-04T10:21:08.660269
34,52,MN_LALS_EO,0.8487859601038619,0.8598906614365358,0.7686616737219146,0.8257794317541042,0.9715788639895085,2025-07-04T10:32:56.638390
35,51,MO_count,0.849439604541895,0.8593943309361901,0.7720536198849453,0.8269625184543434,0.9716271612568014,2025-07-04T10:44:27.170808
36,50,SD_UMALS_NE,0.8466279674813502,0.8569156812983355,0.7663421252577879,0.8232952580124913,0.9711935570833298,2025-07-04T10:55:49.834629
37,49,PLT,0.8454478655772162,0.8556471858017733,0.762231629219581,0.8211088935328569,0.9708993661243824,2025-07-04T11:06:47.003827
